Input Exe  Predicted Exe 
s0, explorer.exe
explorer.exe, chrome.exe
esrv.exe, s0
Teams.exe, chrome.exe
notepad.exe, Teams.exe
chrome.exe, Zoom.exe
McUICnt.exe, explorer.exe
Zoom.exe, chrome.exe
Discord.exe, chrome.exe
ShellExperienceHost.exe, Discord.exe
msedge.exe, Teams.exe
Origin.exe, McUICnt.exe
Microsoft.AAD.BrokerPlugin.exe, explorer.exe
utility.exe, vpnui.exe
vpnui.exe, chrome.exe
Docker Desktop.exe, Microsoft.AAD.BrokerPlugin.exe
SearchApp.exe, explorer.exe
devenv.exe, Teams.exe
Code.exe, chrome.exe
StartMenuExperienceHost.exe, s0
mintty.exe, explorer.exe
Razer Synapse Service Process.exe, EADesktop.exe
OneDrive.exe, explorer.exe
LockApp.exe, chrome.exe
XboxInstaller.exe, ApplicationFrameHost.exe
ApplicationFrameHost.exe, chrome.exe
XboxIdp.exe, XboxPcApp.exe
XboxPcApp.exe, chrome.exe
AccountsControlHost.exe, XboxIdp.exe
Clustertruck.exe, Admin App
Admin App, SearchApp.exe
WerFault.exe, chrome.exe
SystemSettings.exe, RED-Win64-Shipping.exe
MCCWinStore-Win64-Shipping.exe, explorer.exe
rundll32.exe, SystemSettings.exe
DonutCounty.exe, SearchApp.exe
AlertViewer.exe, Zoom.exe
uihost.exe, chrome.exe
DB Browser for SQLite.exe, explorer.exe
Time.exe, chrome.exe
Steam.exe, chrome.exe
steam.exe, steamwebhelper.exe
steamwebhelper.exe, steam.exe
msedgewebview2.exe, Zoom.exe
DBFighterZ.exe, steamwebhelper.exe
RED-Win64-Shipping.exe, SearchApp.exe
EADesktopInstaller.exe, Admin App
EADesktop.exe, chrome.exe
Peggle.exe, chrome.exe
Installer.exe, chrome.exe
TS4_x64.exe, SearchApp.exe
Taskmgr.exe, chrome.exe
ScreenClippingHost.exe, chrome.exe
Razer Synapse 3.exe, chrome.exe
Razer Central.exe, chrome.exe
git-cmd.exe, chrome.exe
